Save Time :22/06/2026 16:15:50																																																																							
User Name :gustavo.diaz																																																																							
																																																																							
Time	gNodeB Name	Cell Name	NR Cell ID	gNodeB Function Name	Integrity	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.RAProblem	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.RlcMaxNumRetx	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.RecfgFail	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.SyncRecfgFail	N.NsaDc.SgNB.Rel.MeNBTrigger.AbnormRel.ScgFail.T310Expiry	N.NsaDc.SgNB.AbnormRel	N.NsaDc.SgNB.AbnormRel.NoReply	N.NsaDc.SgNB.AbnormRel.Radio	N.NsaDc.SgNB.AbnormRel.Radio.UeLost	N.NsaDc.SgNB.AbnormRel.Radio.ULSyncFail	N.NsaDc.SgNB.AbnormRel.Radio.SUL	N.NsaDc.SgNB.AbnormRel.RNL.Preempt	N.NsaDc.SgNB.AbnormRel.Trans	N.RA.TA.UE.Index0	N.RA.TA.UE.Index1	N.RA.TA.UE.Index2	N.RA.TA.UE.Index3	N.RA.TA.UE.Index4	N.RA.TA.UE.Index5	N.RA.TA.UE.Index6	N.RA.TA.UE.Index7	N.RA.TA.UE.Index8	N.RA.TA.UE.Index9	N.RA.TA.UE.Index10	N.RA.TA.UE.Index11	N.RA.TA.UE.Index12	N.RA.TA.UE.Index13	N.RA.TA.UE.Index14	N.RA.TA.UE.Index15	N.MeasRpt.RSRP.Index0	N.MeasRpt.RSRP.Index1	N.MeasRpt.RSRP.Index2	N.MeasRpt.RSRP.Index3	N.MeasRpt.RSRP.Index4	N.MeasRpt.RSRP.Index5	N.MeasRpt.RSRP.Index6	N.MeasRpt.RSRP.Index7	N.MeasRpt.RSRP.Index8	N.MeasRpt.RSRP.Index9	N.UL.PUSCH.RSRP.Index0	N.UL.PUSCH.RSRP.Index1	N.UL.PUSCH.RSRP.Index2	N.UL.PUSCH.RSRP.Index3	N.UL.PUSCH.RSRP.Index4	N.UL.PUSCH.RSRP.Index5	N.UL.PUSCH.RSRP.Index6	N.UL.PUSCH.RSRP.Index7	N.UL.PUSCH.RSRP.Index8	N.UL.PUSCH.RSRP.Index9	N.UL.PUSCH.RSRP.Index10	N.UL.PUSCH.RSRP.Index11	N.MeasRpts.SINR.Index0	N.MeasRpts.SINR.Index1	N.MeasRpts.SINR.Index2	N.MeasRpts.SINR.Index3	N.MeasRpts.SINR.Index4	N.UL.PUSCH.SINR.Index0	N.UL.PUSCH.SINR.Index1	N.UL.PUSCH.SINR.Index2	N.UL.PUSCH.SINR.Index3	N.UL.PUSCH.SINR.Index4	N.UL.PUSCH.SINR.Index5	N.UL.PUSCH.SINR.Index6	N.UL.PUSCH.SINR.Index7	N.NsaDc.SgNB.Rel
24/05/2026 0:00	MBTS_AR1891_JM_CUADROS	ARR18911C1_Jm_Cuadros	0	ARD1891_JM_Cuadros	100%	7738	7084	3	0	64	587	6	0	5	5	0	0	0	0	1049	1488	4882	15227	19505	8640	8263	0	0	0	0	0	0	0	0	0	56	660	9058	17394	63876	0	0	0	0	0	33684	12399	15871	18113	15400	10941	5515	3888	2357	458	6	1	105	1115	5803	32858	51117	27278	8872	9048	13898	16131	15072	12092	16242	58925
24/05/2026 0:00	MBTS_AR3936_RESIDENCIAL_LA_LOMADA	ARR39362C3_Residencial_La_Lomada	13	ARR3936_Residencial_La_Lomada	100%	5	4	0	0	0	1	0	0	0	0	0	0	0	0	13	140	461	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	10	883	0	0	0	0	0	158	425	973	330	1087	498	899	664	36	38	22	0	1	20	103	416	356	81	175	394	720	339	483	937	2001	564
24/05/2026 0:00	MBTS_AR3936_RESIDENCIAL_LA_LOMADA	ARR39361C3_Residencial_La_Lomada	12	ARR3936_Residencial_La_Lomada	100%	41	0	1	0	2	38	1	0	1	1	0	0	0	0	293	318	2303	186	93	0	0	0	0	0	0	0	0	0	0	0	2	9	502	1167	4174	0	0	0	0	0	3084	3241	5215	6416	6010	1869	385	93	25	1	1	0	280	1155	1373	2139	907	1515	1483	2724	4211	4348	5307	4433	2319	2893
24/05/2026 0:00	MBTS_AR3936_RESIDENCIAL_LA_LOMADA	ARR39364C3_Residencial_La_Lomada	15	ARR3936_Residencial_La_Lomada	100%	45	15	0	0	4	26	0	0	0	0	0	0	0	0	35	131	877	140	9	0	0	0	0	0	0	0	0	0	0	0	1	3	15	105	2150	0	0	0	0	0	1397	1073	1786	4526	5490	2328	689	195	7	0	0	0	30	202	667	1336	39	540	585	710	1298	1679	4339	4781	3559	1013
24/05/2026 0:00	MBTS_AR3936_RESIDENCIAL_LA_LOMADA	ARR39363C3_Residencial_La_Lomada	14	ARR3936_Residencial_La_Lomada	100%	7	4	1	0	1	1	1	0	1	1	0	0	0	0	27	2	1876	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	106	2330	0	0	0	0	0	1002	413	348	2411	3477	1166	974	127	5	0	0	0	1	67	538	1664	168	694	369	279	209	834	2859	2714	1965	1801
24/05/2026 0:00	MBTS_AR3936_RESIDENCIAL_LA_LOMADA	ARR39364C1_Residencial_La_Lomada	6	ARR3936_Residencial_La_Lomada	100%	9242	6389	16	0	91	2746	25	0	25	25	0	0	0	0	357	253	2032	15943	43004	45653	3512	0	0	0	0	0	0	0	0	0	37	1528	20488	39326	106401	0	0	0	0	0	38338	22636	28067	29719	21937	14250	4844	815	96	5	0	0	153	3624	24245	70198	69560	22921	14869	19861	25610	27460	22823	15979	11184	95135
24/05/2026 0:00	MBTS_AR3936_RESIDENCIAL_LA_LOMADA	ARR39363C1_Residencial_La_Lomada	2	ARR3936_Residencial_La_Lomada	100%	4085	3230	12	0	79	764	16	1	15	15	0	0	0	0	479	774	5498	16306	12289	6568	2358	0	0	0	0	0	0	0	0	0	14	388	4927	10892	49650	0	0	0	0	0	12060	7835	18142	21465	15971	13349	5361	810	112	2	0	0	84	1124	4398	21512	38753	8696	3910	7549	15226	17419	15714	11789	14804	41885
24/05/2026 0:00	MBTS_AR3936_RESIDENCIAL_LA_LOMADA	ARR39361C1_Residencial_La_Lomada	0	ARR3936_Residencial_La_Lomada	100%	344	146	0	0	17	181	2	0	2	2	0	0	0	0	152	976	5478	7912	4001	1341	330	0	0	0	0	0	0	0	0	0	5	207	2461	3892	24370	0	0	0	0	0	4589	2320	5643	16674	18918	17528	4331	1216	429	42	4	0	32	291	2952	12513	15147	2143	766	1639	4085	7812	19682	15063	20504	17511
24/05/2026 1:00	MBTS_AR3909_AZANGARO	ARR39093C1_Azangaro	2	ARR3909_AZANGARO	100%	810	706	1	0	9	94	4	0	4	4	0	0	0	0	237	1470	6719	3736	500	1488	74	0	0	0	0	0	0	0	0	0	14	158	2028	2913	22233	0	0	0	0	0	4878	2573	8621	10913	22341	15275	7682	1079	108	18	0	3	22	386	3148	7380	16410	4172	973	2653	7304	10536	18758	13072	16023	12309
24/05/2026 1:00	MBTS_AR3909_AZANGARO	ARR39092C1_Azangaro	1	ARR3909_AZANGARO	100%	7657	7364	7	0	74	212	5	1	3	3	0	0	0	0	1600	2275	10574	8742	3402	11036	11196	0	0	0	0	0	0	0	0	0	19	562	10326	15356	40357	0	0	0	0	0	27835	12986	19802	16596	12939	12867	8614	2660	718	87	12	0	113	3404	13520	30435	19148	18012	8522	12641	17380	16173	12878	10721	18789	49341
